soil_pH,soil_N,soil_P,rainfall_mm,temp_avg,fertilizer_kg_per_ha,irrigation_mm,pesticide_ml,input_cost_total,environmental_score,yield_kg_per_ha,date,month,day_of_year,crop_type
4.6,118.56662770767252,32.14506191870653,546.135958660408,22.486916828617407,185.38151242917283,335.36366272130044,90.98430781963359,187.05878110473657,220.9364370558572,4131.00701100003,2024-04-21,4,112,Wheat
6.89,151.800479553721,18.725040991722835,487.41186972489925,15.077998093875472,68.00087721197843,306.55811953462074,230.03050690150073,164.3212145833636,155.77101287772336,3724.1488929721813,2024-01-07,1,7,Maize
6.78,31.557608673524136,22.43206232851156,324.3015612316182,27.09457113460425,83.43285579514041,418.14565655123,216.11196381966087,190.17914835371448,197.11460682441933,2923.937250152274,2024-05-07,5,128,Barley
8.2,133.87194076411066,6.825414500933443,266.86481272572826,33.643833785101975,26.73913087988724,58.16586356663061,234.02520712048943,95.21030028941657,56.895758309970475,3114.859689181484,2023-05-24,5,144,Maize
7.97,160.37317800080297,31.82168877416954,556.4105636484384,15.028646287399265,59.57187967804225,32.81304408890878,192.47390437301829,94.09071996870836,64.83443147079981,3652.1274197453276,2023-12-25,12,359,Maize
5.98,144.20088034771982,58.02431290695595,,25.65080957534314,168.7457585420515,85.83909752160845,195.18195697563104,160.09528586803674,146.51738007927653,3302.2515943531744,2023-09-29,9,272,Rice
7.29,113.43472132451924,50.513540715846666,250.56368424898608,23.985985740127774,103.74956942294189,100.58761614443974,162.86343970824154,120.85133985283136,108.7123704679212,2729.9325501045737,2024-11-13,11,318,Barley
6.42,118.91531646110306,47.51068150318633,235.84748520035066,31.654790818207715,58.44979134787758,147.350684942764,83.17752490475584,83.64829013391834,87.59283278203132,2661.628293445665,2025-03-06,3,65,Rice
5.78,176.73498222905206,20.145964584048016,744.6176702012572,29.665885699326502,158.80289005319256,19.708792560181486,23.609302558619717,90.4259943062185,103.55530205583196,3947.221304928444,2023-06-03,6,154,Barley
5.79,171.56599298775583,10.795070723797107,685.9041863155627,18.258390960576452,163.89913707721047,397.0672808661362,99.807053907801,191.30514088417277,227.44037189694723,4458.113032924848,2025-03-19,3,78,Maize
4.8,145.1260197285669,8.947669342458216,367.7929378397893,19.87110672212631,85.37894556466053,235.35049974553078,125.23448516893875,127.32991828211804,134.35596577934942,3265.741587946385,2023-03-07,3,66,Rice
7.32,83.61584827448925,48.69835494699118,264.5244276299742,34.40314921861881,68.1923947285977,120.0757980110071,220.65621173807435,124.30822048792257,99.00379741426818,3375.995638777406,2024-04-24,4,115,Maize
8.39,91.56699163330298,21.56958934180002,369.07578919117725,27.29644940415597,116.66144963684091,60.68596227430984,257.7974853211428,147.80716286962524,113.98240699651177,3137.1507324096337,2023-06-17,6,168,Barley
8.32,147.6283271100379,41.21972836185302,197.35485776574006,15.436589207153169,21.342363820470855,94.24992639778057,57.56195532135045,46.78975378619668,46.836591743751725,3263.4648878873545,2023-09-11,9,254,Rice
5.43,94.90771967235708,39.232750286129814,54.814573553754514,24.65456697831104,,238.55490884696306,139.01730264139388,105.7777929756384,105.10214741482145,2567.819876166609,2024-04-02,4,93,Maize
7.45,159.43763561261272,58.7519349395327,728.8065429585839,22.892617422142717,17.679393429351677,399.84593100139557,32.097378352387,98.43809642067106,133.7711531932684,3679.9425727993266,2024-03-01,3,61,Barley
8.13,147.50533580870626,23.436442605398,491.1730536193106,14.364372445821772,61.93834222103782,289.8857208812398,230.99208546198028,158.24394092536096,147.22793014319268,3271.2525545438616,2023-10-12,10,285,Rice
4.64,77.37545052777259,33.78650012559015,129.31245330922494,29.35362424969754,38.40467382726891,213.77092767985602,193.8140832289788,120.10074741829929,106.55549092321603,2649.634508354057,2025-04-17,4,107,Wheat
5.78,169.78415203239354,39.87781760626552,698.9774402008991,16.805982469007333,41.81947291792285,203.7039406773427,257.9243417055201,139.027827106086,111.99530012450853,3900.3932266697407,2025-09-15,9,258,Wheat
4.52,69.25279993069987,21.072002675404377,357.44742087480216,13.720643140658865,173.90673436299596,201.130206841771,114.94934056773774,161.66421072017351,176.17803672710266,3811.3819611072904,2025-03-16,3,75,Rice
7.03,135.61859466294095,46.48365428251444,531.6318899518901,34.87810374604304,,349.0352732017008,231.75677752876334,200.78403392448843,201.62619494400968,3556.3984295483833,2025-05-17,5,137,Barley
7.23,137.03619663166762,21.131973592931057,724.3522243122266,24.97494227790036,181.39710368764875,451.6368111194571,252.23552158173436,256.6965705422361,269.5528577065998,4295.621301367174,2024-02-26,2,57,Rice
6.04,23.454609828150204,36.80641196811983,514.4665157394165,15.797506581918398,134.85871474000493,339.5858497689964,51.382023199871874,150.7611342837633,187.92918609468907,3196.130174153244,2024-03-28,3,88,Rice
7.99,124.41551741080602,13.365735577225008,814.2290326581374,18.819171428711165,126.15408403452413,351.1993605402993,272.4251061179563,215.04444596070886,208.2947691945999,4232.766372074622,2023-08-23,8,235,Barley
5.45,176.93183499414175,29.769303839797697,627.3202661429053,39.152632925451755,94.83158917581594,68.02811721582147,94.33023174342162,89.32048755409875,86.74041184457816,3842.964771890794,2023-04-27,4,117,Barley
6.29,188.58902461309307,58.02095739147363,446.3264838575496,21.792881520640652,77.25754102910905,212.3970906657059,163.02175565947923,130.01471534553946,126.37582738312511,3599.4960261072933,2023-11-21,11,325,Rice
4.97,116.3558236614665,26.349113836984753,676.8939936922872,18.82488899515441,48.722958396438855,143.70126692274127,47.484915209812094,67.34720714571131,77.0926466356669,3835.1182504865574,2024-03-01,3,61,Wheat
4.9,194.85111692749513,40.876040672556684,203.1009290985491,16.045878983164073,76.90316274125331,332.00611403380117,202.25608464888415,165.52962957205213,165.96934031978074,3334.30129615396,2023-01-13,1,13,Maize
7.17,69.34891998076506,19.927515924569292,210.8787080583329,26.90429485381669,71.05679484738452,58.750920106186655,62.82201418498008,66.12518570042361,66.54155435878472,2870.6528979752247,2023-12-07,12,341,Rice
6.45,20.579287448770163,44.19417332041821,480.1485930947704,26.758555379976006,193.16733376151672,24.23211623791116,213.62159767437916,165.51656943065433,144.53219489572126,4025.025668978228,2024-08-22,8,235,Wheat
6.97,107.99238444624564,59.12072397657553,579.7111169479977,21.50179745733536,135.3744551655153,440.8176745877053,290.1708420179062,173.2610130213731,219.2733923159789,3926.295109382751,2024-12-20,12,355,Rice
7.29,90.64884015320327,37.5433439268479,381.9785146838675,32.96466937615692,58.1753708463165,490.71071246101263,57.44688447243583,144.46389325709154,187.86312469333726,3188.586310885645,2025-05-12,5,132,Wheat
7.48,39.18674545543833,39.287327698769204,495.15822877869755,31.930526175972382,13.607462818333937,474.3952488459591,274.1443567874833,183.9260882146038,177.89748802353643,2556.4709174220993,2025-09-10,9,253,Wheat
5.65,25.97655958244598,31.512258196164538,681.2418199823601,18.909617074468915,19.338911957513428,483.2953851116584,284.5275466624479,191.68679699982277,185.04471737425038,3201.0397369378034,2024-12-03,12,338,Barley
5.86,80.66057175763154,53.95533693510946,680.6726269833275,30.919417796911986,143.6028356254003,495.3213685860895,83.46515612064664,195.90523836611203,243.10462756313166,4103.751776988953,2023-01-31,1,31,Maize
